case_id,image_quality,damage_confidence,claim_image_consistency,image_order_consistency,policy_match_score,evidence_completeness,image_usable,relevant_region_visible,damage_detected,damage_evidence_quality,damage_needs_human_review,order_valid,policy_eligible,evidence_reliable
M4_W6_018,0.7001848037128224,0.6544285815716,0.4358541056004246,0.8468722429571367,0.5323365542563846,0.8362276465294386,1,1,1,0.5,0,1,1,1
M4_W6_019,0.7707581410626155,0.49632542273585495,0.573044425944411,0.46362811922762875,0.7187202285714505,0.9170471708204008,1,1,1,1.0,0,1,1,1
M4_W6_020,0.6822446227070237,0.8645487055362308,0.6318455332796821,0.84736748985442,0.5971794340239927,0.7621669587353482,1,1,1,1.0,0,1,1,1
M4_W6_021,0.845590408410752,0.7378769106240962,0.49728244230593105,0.5986688999118255,0.8403480083238766,0.8679051750029599,0,1,1,1.0,0,1,1,0
M4_W6_022,0.5453003556898873,0.6467644927934032,0.6499715446540196,0.7805108971736369,0.9213548723356365,0.9665288156185813,1,1,1,0.0,0,1,0,0
M4_W6_023,0.8122162951760633,0.6497692669013385,0.6550532984503358,0.9074259914374524,0.7531502888037361,0.8992202329766195,1,1,1,1.0,0,1,1,1
M4_W6_024,0.730794556844803,0.5485858833691902,0.7377462523609447,0.540750350946458,0.5967067830347729,0.8886849861316269,1,1,1,0.5,0,1,1,0
M4_W6_025,0.7855853741679911,0.8419291793047842,0.6330749822469331,0.7593452753035751,0.8790261282915083,0.8604922571076751,1,1,1,1.0,0,1,1,1
M4_W6_026,0.8059458005170048,0.9634197191645995,0.5208213284376815,0.7892058171311689,0.7871657484327114,0.6724758169088222,1,1,0,0.0,0,1,1,0
M4_W6_027,0.41509197829919803,0.8103117232048619,0.5637017196680082,0.8103734140658675,0.6004303852867531,0.8943288456849714,1,1,1,1.0,0,1,1,1
M4_W6_028,0.8185821679723859,0.9663924954666776,0.467523463066748,0.5945044420401084,0.7358481495008384,0.8977543270994148,1,1,1,1.0,0,1,0,0
M4_W6_029,0.6572058891175784,0.6530049914108138,0.5176416145909934,0.4721105198479608,0.6193076080701835,0.8565663079016431,1,1,1,1.0,0,1,1,0
M4_W6_030,0.9203390704712295,0.8545737476472454,0.7076301170556879,0.6742822310314791,0.7909456674844421,0.697067040908458,1,1,1,1.0,0,1,1,1
M4_W6_031,0.5782093764209004,0.2214349513252873,0.6628006150948561,0.37359639627839275,0.6401850384886482,0.7176894366324181,1,0,1,1.0,0,1,1,0
M4_W6_032,0.8819308645069135,0.7824212907631493,0.6898928204325059,0.7622276438823606,0.5275859513863689,0.8246055067464697,1,1,1,1.0,0,1,1,0
M4_W6_033,0.5304808586513644,0.6967708587522973,0.935178012067964,0.8864309299095412,0.7941821214480594,0.612906680228435,1,1,0,1.0,0,1,0,0
M4_W6_034,0.41767078753235054,0.32856692758138656,0.6482332630409269,0.656556229800374,0.9215478575028674,0.5494094382257891,1,1,1,1.0,0,1,0,0
M4_W6_035,0.7987405493223968,0.6462875186848323,0.6295027340488824,0.8035445047861404,0.8435361056348105,0.9097662898154242,1,0,0,1.0,0,0,1,0
M4_W6_036,0.5259015184997567,0.937949320717161,0.4894002683249548,0.5092087625436433,0.7332573424128174,0.8503425375865915,1,1,1,1.0,0,1,1,0
M4_W6_037,0.4307145132984276,0.5300051878383729,0.9807025139110869,0.5621463200026778,0.8124345843718176,0.2884793008930949,1,1,1,0.0,0,1,1,0
M4_W6_038,0.9170914803473108,0.8512263028321214,0.9088654170060477,0.557165819050632,0.8429697222694101,0.910120768156541,1,0,0,1.0,1,0,1,0
M4_W6_039,0.6594822591336271,0.5065358318469266,0.6448883200664242,0.6521299588902267,0.6656121955891213,0.7226203897016836,1,0,0,1.0,0,1,1,0
M4_W6_040,0.7982658179516947,0.8497368032935829,0.7327838287978481,0.6259083505683619,0.6837899955076356,0.8614678421426577,1,1,1,0.5,0,1,0,0
M4_W6_041,0.7587977908695785,0.7872492665202593,0.7589942871554811,0.7403850832007445,0.8108509405629395,0.6820100266003434,0,1,0,1.0,0,1,1,0
M4_W6_042,0.7962739297138829,0.5304381283571205,0.4757936440390752,0.7335703465832325,0.8836341503244617,0.7884711691915935,1,1,0,1.0,0,1,1,0
M4_W6_043,0.6900398332574699,0.9032660429284121,0.8763268772985978,0.8609347690021674,0.9474447487927062,0.7819558663509971,1,1,1,1.0,0,1,1,1
M4_W6_044,0.27045448156278684,0.4331132804475779,0.4299424542086805,0.5820885846717042,0.45844814247544635,0.7087543575488587,1,1,1,1.0,0,1,1,0
M4_W6_045,0.46358950844729835,0.6858404139177057,0.6830957333668503,0.9543185881990606,0.5918195950273941,0.7987063864292889,0,1,1,1.0,0,1,1,0
M4_W6_046,0.5623763298019676,0.8015149086365126,0.694147615947991,0.49717472695948955,0.6061268436872866,0.5587748940866514,1,1,1,1.0,0,1,1,0
M4_W6_047,0.8993545774619225,0.3561394851774806,0.4800068407515758,0.9120081500127537,0.8685136515182419,0.5974721806697931,1,1,1,0.5,0,1,1,0
M4_W6_048,0.8685518568098796,0.2924081655738309,0.4951794295812528,0.6086303179103326,0.8609311637423267,0.7804342161531418,1,1,1,1.0,0,1,0,0
M4_W6_049,0.4219490645173333,0.7363030204256112,0.8676565220592223,0.695948055458681,0.721723217168093,0.6464057632294649,1,1,1,1.0,1,1,1,0
M4_W6_050,0.6306651089206141,0.6748714060008504,0.8078801810756079,0.817972593617363,0.811624433730779,0.7967624515527678,1,1,0,1.0,0,1,1,0
M4_W6_051,0.9567411124554026,0.5555627891765349,0.9284838791610971,0.9428864401417423,0.7946057655922976,0.9287365340320012,0,0,0,1.0,0,0,1,0
M4_W6_052,0.747180156961481,0.6380591889298602,0.3198224219385001,0.5187974310163972,0.8402379757879092,0.48711738964745743,1,1,1,0.5,0,1,1,0
M4_W6_053,0.7700565056177794,0.38485737469840026,0.5147796172783984,0.5727677047695375,0.8337281041695094,0.8649999601158139,1,1,1,1.0,0,1,1,0
M4_W6_054,0.7855831938532009,0.4724214126231884,0.7011489022144144,0.7778135666035892,0.902801657190414,0.7399618976192198,1,1,1,1.0,0,1,0,0
M4_W6_055,0.7648070362341455,0.5263636219170151,0.7343887958910411,0.6608098863694639,0.8458249420912584,0.7862946240076691,1,1,1,1.0,0,1,1,1
M4_W6_056,0.6307568631650757,0.6516511764160411,0.8713673251171475,0.6542487909386967,0.8258355356171244,0.9090896387320959,1,0,1,0.5,1,1,1,0
M4_W6_057,0.33916970968300814,0.8441525469175261,0.6422500710454462,0.3591948621897462,0.7900871768217821,0.7489480385343916,1,1,1,1.0,0,1,1,0
M4_W6_058,0.8493930097084063,0.6255526095870357,0.35351126935770777,0.9197245287248803,0.7225392690219231,0.8775271444166004,1,1,0,0.5,0,1,1,0
M4_W6_059,0.8284372464348215,0.7391288695163365,0.5170130023550958,0.8426508538969734,0.7779319138695978,0.8957467562058734,1,1,1,1.0,0,1,0,0
M4_W6_060,0.5856810372336686,0.566685570768406,0.7328000261038006,0.924739308303012,0.8178368896106597,0.7183008177401511,1,1,1,1.0,0,1,1,1
M4_W6_061,0.926589548744827,0.8931180362088409,0.19844073322180839,0.9249528137970002,0.892573388181954,0.7572540141547389,1,1,1,1.0,0,1,1,0
M4_W6_062,0.16498024812974824,0.41725861117457386,0.7842995389058679,0.6725891318745892,0.824770783314001,0.5603932465341608,1,1,0,1.0,0,1,0,0
M4_W6_063,0.17856060526657258,0.6051092892002794,0.6431901516476112,0.8136608692841272,0.5638148742704278,0.5389745963461173,1,1,1,1.0,1,1,1,0
M4_W6_064,0.3734557182598697,0.4225213135247538,0.41342784129737076,0.6994545733497078,0.5059667398832308,0.6261539953352828,0,1,1,1.0,0,0,1,0
M4_W6_065,0.5837966331218931,0.7187498940722866,0.6199332399798044,0.7976505392508149,0.7146137971248371,0.789731054682919,1,0,1,1.0,0,1,1,0
M4_W6_066,0.7126212032092262,0.7615545652470344,0.28928498436305583,0.9632545789645186,0.8852495744546839,0.5061133841537043,1,1,1,1.0,0,0,1,0
M4_W6_067,0.6370646094007301,0.7203613663508778,0.9184007370074503,0.7491252585078498,0.874600839257216,0.8198305507308727,1,1,1,1.0,0,1,1,1
M4_W6_068,0.6958588690000085,0.8300355796486012,0.8512435638835425,0.7257679629987296,0.7015253662971577,0.9046572384643924,1,1,1,1.0,1,1,0,0
M4_W6_069,0.6135125598747124,0.18082852122334592,0.6565563178463094,0.6507022005724311,0.6281209385296638,0.703638262898455,1,1,1,1.0,0,1,1,0
M4_W6_070,0.8977941406824894,0.24083313602542092,0.7465209039209919,0.6128472980251823,0.6007136029990199,0.5970175995075558,1,0,1,1.0,0,0,1,0
M4_W6_071,0.529307285076813,0.6550168499850905,0.5754503194436645,0.9013673196588452,0.8870546769992369,0.805760686453478,0,1,1,1.0,0,1,0,0
M4_W6_072,0.5951359647532544,0.6218534669832423,0.683230117191641,0.512706755796977,0.7354760136021501,0.7493638101784461,1,1,1,0.5,0,1,1,0
M4_W6_073,0.4866088338174302,0.9420871450458235,0.702642567028448,0.49099750045225354,0.8256364435934341,0.8407081162266516,1,1,1,1.0,0,1,1,1
M4_W6_074,0.6971321925167073,0.5340410371294784,0.7272695878949499,0.9114577922804844,0.7784618745615237,0.8813580527799444,1,1,1,1.0,0,1,1,1
M4_W6_075,0.8404974548254587,0.3621131610826369,0.5736395257790421,0.4695394186791531,0.5571178178653613,0.8745955557433299,1,1,1,1.0,0,1,1,0
M4_W6_076,0.9400434780326835,0.8567690948994346,0.8281422952793552,0.6049016630592268,0.8015686270162358,0.6786136912426932,1,1,0,0.0,1,1,1,0
M4_W6_077,0.7257432985626368,0.6329214370325337,0.6551841635415089,0.7419288809500231,0.709122019581595,0.6203478293805574,0,1,0,1.0,0,1,1,0
M4_W6_078,0.7363733063811432,0.5839318340249242,0.8051918828416155,0.4929347413111671,0.26696815874921764,0.6768321580608102,1,1,1,1.0,0,1,1,0
M4_W6_079,0.5700251314438303,0.3097805532835338,0.8076591809161574,0.8792788160298387,0.6008806279594145,0.5083307016483435,1,1,1,1.0,0,1,1,0
M4_W6_080,0.7315632049749191,0.9191390611694525,0.9244230357245116,0.7979278191268695,0.584770112455139,0.8544448899451499,1,1,1,1.0,0,1,1,1
M4_W6_081,0.535038897189995,0.42169049571437967,0.654154370444406,0.6066136337063691,0.8449017154777548,0.5002257702534955,1,0,0,0.5,0,1,1,0
M4_W6_082,0.7535169445509017,0.4268807577298028,0.5925830591645456,0.8786476364308652,0.5389840692255751,0.8186792513963145,1,1,1,1.0,0,1,1,0
M4_W6_083,0.6544029584097936,0.93069226655454,0.745410566699179,0.8154324003141359,0.8858559825163782,0.7727085851918161,1,1,1,1.0,0,1,1,1
M4_W6_084,0.7657150464844873,0.5658678147181772,0.7151863769812183,0.8459339805949124,0.5657303259839918,0.6350779291797527,1,1,1,1.0,0,1,1,1
M4_W6_085,0.8823179955098265,0.7748246135122712,0.8988016476069991,0.793349263587654,0.710147672129987,0.9627377873759271,1,1,0,0.0,0,1,1,0
M4_W6_086,0.4606065731999875,0.27331260349889425,0.4166243199752056,0.28884311426101683,0.8837217766142249,0.8446547937849661,1,1,1,0.5,0,1,1,0
M4_W6_087,0.7034277949104597,0.8128720689324967,0.8030871502916545,0.49458224130327033,0.7979894159214257,0.7884637105946606,1,0,1,0.5,0,1,1,0
M4_W6_088,0.6390369291296601,0.7882921575466203,0.6381997740521228,0.6406260286307613,0.7548534633477036,0.8118045296210635,1,1,1,0.5,0,1,1,0
M4_W6_089,0.7071117132212691,0.7326195502375492,0.29592338390231737,0.7757568231206492,0.7639915348053917,0.7168662794532047,1,0,1,0.5,0,0,1,0
M4_W6_090,0.73316317748065,0.5765236726249662,0.6864686368341761,0.4896424994487382,0.6598536981160461,0.7253203769818204,1,1,1,1.0,0,1,1,1
M4_W6_091,0.7394143239699712,0.5450577609814409,0.7060740653058434,0.9299325053261798,0.7751160325605838,0.39986838147754805,1,1,1,1.0,0,1,1,0
M4_W6_092,0.8743584780098335,0.3855580976021839,0.6511500999998648,0.7213082489886466,0.7500137602144962,0.8408129668472595,0,1,0,1.0,0,1,1,0
M4_W6_093,0.8995911272182647,0.7314521319093548,0.2169626407272843,0.38776839191466805,0.40437605512068886,0.5401158271005975,1,0,1,1.0,0,1,0,0
M4_W6_094,0.5780699100693925,0.8179195858910868,0.37533273626488106,0.9751022771689898,0.6767767054236471,0.9025056241026086,1,1,1,1.0,0,1,1,1
M4_W6_095,0.4469079937682099,0.7083182707700476,0.7940525041571141,0.6791392389016082,0.8161518986990476,0.6799011754959015,1,0,1,1.0,0,1,0,0
M4_W6_096,0.469806946274506,0.8397461135825202,0.7487727298046232,0.7370254016772486,0.7488007915799035,0.6698889678361828,1,1,1,1.0,0,1,1,0
M4_W6_097,0.9292714464743429,0.5970047962155566,0.9128024551336532,0.8778335602329631,0.7929004436456905,0.8040159486517424,1,1,1,1.0,0,1,1,1
M4_W6_098,0.49032824871087655,0.7423566696586372,0.6183336156186579,0.699608919460539,0.6444195110127369,0.7364565314604707,1,1,1,1.0,0,1,1,0
M4_W6_099,0.6178519701549388,0.9115305250326988,0.5543332948222811,0.9252340532966598,0.6207432644519169,0.7123971756221781,1,1,0,1.0,0,1,1,0
M4_W6_100,0.6653672612342604,0.5383117952230444,0.8066985765152462,0.7894577589578403,0.7206372541676922,0.5447397732575335,1,1,1,1.0,0,1,0,0
M4_W6_101,0.5614803225852453,0.4242027826846238,0.607059726888504,0.6478853953934355,0.7592837303473189,0.6750436566918869,1,1,1,1.0,0,1,1,0
M4_W6_102,0.6875676320703135,0.8327159024628027,0.8590118030360532,0.8576122825969565,0.8309944555512668,0.7281401428064281,1,1,1,1.0,0,1,0,0
M4_W6_103,0.9180293065339594,0.8070993070623045,0.7643773141022998,0.847259930846048,0.7671790190853346,0.7248642606130453,0,1,1,1.0,0,1,1,0
M4_W6_104,0.2131548545113063,0.8470873093094936,0.5081729659343437,0.4679933680066791,0.8522009733637778,0.8423943161687948,1,1,1,1.0,0,1,1,0
M4_W6_105,0.5014311565681009,0.898984205297993,0.45224508225481674,0.9689077462740228,0.5653146896254628,0.6118683781603157,1,1,1,1.0,0,0,1,0
M4_W6_106,0.6068263882988798,0.3484567987960421,0.81057266996557,0.7150414164219308,0.5691538401729362,0.6644026600082803,1,1,1,1.0,0,1,1,0
M4_W6_107,0.7918360847904574,0.6991753997045844,0.2964380917160367,0.7597195560964465,0.7213871135542061,0.3947107471925127,1,1,1,1.0,0,1,1,0
M4_W6_108,0.4302055943977039,0.6138638676818375,0.25252190597896235,0.252654752934871,0.6174096300658389,0.6029296201340146,1,1,0,0.5,0,1,0,0
M4_W6_109,0.7112392689374928,0.6145308957800487,0.8665533159991498,0.6609579782627434,0.8348529049536205,0.4043645264327894,1,1,1,0.5,1,1,1,0
M4_W6_110,0.5186498103389842,0.7774340153377786,0.6309017654288134,0.8233678009625697,0.5150648984639269,0.675737232560668,1,1,0,1.0,0,1,0,0
M4_W6_111,0.7409591202172239,0.8874620435457062,0.6007716491972052,0.7826241034143673,0.7109557160683467,0.9149152990407209,1,1,0,1.0,0,1,0,0
M4_W6_112,0.6034726390187929,0.16956681024210357,0.4401306914307314,0.6635840591214914,0.8496933263778447,0.8859251746754956,1,1,1,1.0,0,1,1,0
M4_W6_113,0.46847537525597444,0.7728990298301327,0.6210792254050083,0.47190598737762846,0.8730814544361984,0.8835357535774426,1,1,1,1.0,0,1,1,1
M4_W6_114,0.8059314212820011,0.8652154570278843,0.925776567676567,0.7344393910092853,0.8703888430186848,0.6766491759617503,1,1,1,1.0,0,1,1,1
M4_W6_115,0.8337395971684923,0.7644317376413955,0.5115557632583281,0.46686193793571107,0.5693654038699659,0.7329364653963307,0,1,0,0.5,0,1,1,0
M4_W6_116,0.741949964749366,0.7045067474562313,0.9579134769149441,0.8939167209531954,0.6703093776092695,0.9116902323413605,1,1,1,0.5,0,1,0,0
M4_W6_117,0.9264317011271761,0.9398160944238005,0.7746996104876581,0.4281493320776093,0.6055223279637696,0.6848514578067129,1,1,1,1.0,0,1,0,0
M4_W6_118,0.5928354114271616,0.6994418327695947,0.6043427780466774,0.8733894763786436,0.6688727153226883,0.7615435388022795,1,1,1,1.0,0,1,0,0
M4_W6_119,0.7424542032261262,0.28434448264245366,0.5851970613648919,0.6485736169426629,0.7736798808905164,0.6215904358243642,1,1,1,0.5,0,1,1,0
M4_W6_120,0.5476622562721365,0.3573486042969468,0.5266141729873921,0.9106136501070994,0.8841089388639267,0.8281950453900099,1,1,1,1.0,0,1,1,1
M4_W6_121,0.784699733148688,0.7807883729479765,0.8804174599133041,0.5761495208352674,0.8535604664348445,0.6174188964804765,1,0,1,0.5,0,1,1,0
M4_W6_122,0.6969224103264269,0.6874461228311907,0.6167810403286128,0.47824682447726896,0.8984437306930285,0.8448710314642564,1,1,1,1.0,0,1,0,0
M4_W6_123,0.8073404398551438,0.5570036644735754,0.7011142647776507,0.7295663418628456,0.8557756983683211,0.6663607817806247,1,1,1,1.0,1,1,1,0
M4_W6_124,0.4667178892280325,0.822114294617555,0.6307345463903329,0.8472372662860728,0.7539134145609954,0.8903638124487423,0,1,1,0.5,0,0,1,0
M4_W6_125,0.8231669067020657,0.42861856880307614,0.787298059908718,0.8770754648020885,0.8232479329398287,0.558157090887835,1,1,1,0.0,1,1,1,0
M4_W6_126,0.927147299152754,0.5128794613398601,0.742072399315818,0.6145694944870816,0.6460124763327686,0.4646645831007935,1,1,1,1.0,0,1,1,0
M4_W6_127,0.19891011429766756,0.7054096603175445,0.4938167806238271,0.5482487962617919,0.9511648897597628,0.6845598665968883,1,1,1,1.0,0,1,1,0
M4_W6_128,0.25551592410434704,0.6590067361315661,0.6072074283051361,0.5443094727005707,0.7662767516783021,0.8474614526674253,1,1,0,1.0,0,1,1,0
M4_W6_129,0.8837780246495137,0.8542408070116991,0.5773376479967436,0.617855433153948,0.855341213698265,0.616587600756317,1,1,1,1.0,0,1,0,0
M4_W6_130,0.5701721301345012,0.35918422737075606,0.7142842591030097,0.3712254020476464,0.9088595356152274,0.7472483678521323,1,1,1,0.5,0,1,1,0
M4_W6_131,0.6208504570095884,0.7163227991774702,0.8083578188185508,0.6666932380137824,0.8812716310793653,0.5891907226372376,1,1,1,1.0,0,1,1,1
M4_W6_132,0.34176348181246424,0.7819727605360122,0.38677131831171824,0.8118480796751869,0.533361364091008,0.8334986341315215,1,1,1,1.0,0,1,1,0
M4_W6_133,0.6195140674014923,0.6633382786525606,0.7655032153876791,0.7265892822622823,0.695560834957658,0.8858972709325007,1,1,1,1.0,0,1,1,1
M4_W6_134,0.7711048934939062,0.29939140602416986,0.8021646924257124,0.7191711868142122,0.7479057238930163,0.7145841487210922,0,1,1,1.0,0,1,1,0
M4_W6_135,0.8907563596819121,0.7727277528692554,0.588361940103687,0.7368642957086314,0.46651335019781176,0.495792109057135,1,1,1,0.5,0,1,1,1
M4_W6_136,0.9671229177350515,0.6550847547655693,0.47572378289192024,0.7591739731404352,0.6254342665196829,0.7239073555489581,1,1,0,1.0,0,1,1,0
M4_W6_137,0.39171230359315873,0.5352341447512874,0.6528229364378965,0.5139606169404428,0.8325489784541663,0.8622564162982661,0,1,0,1.0,1,1,1,0
M4_W6_138,0.622361041160233,0.616249965019169,0.7948381298546423,0.7139717949823827,0.8155322985240572,0.5783069820789096,1,1,1,0.5,0,1,1,0
M4_W6_139,0.7010399290752706,0.40950321092057984,0.729778287001688,0.8102533364362232,0.46270953883136096,0.8190071525485418,1,1,1,1.0,0,1,1,0
M4_W6_140,0.732555698780655,0.848568161498788,0.6438515248241156,0.7031339555189762,0.665401973121093,0.8712074973788344,1,1,1,1.0,0,0,1,0
M4_W6_141,0.8219255433990404,0.6339382799844046,0.559856063080229,0.40841229356825387,0.8600928156084687,0.2675180126829983,1,1,1,1.0,0,1,1,0
M4_W6_142,0.6370627989669239,0.6473240432120724,0.8918476688589686,0.6535641635076972,0.5069063377118919,0.7179313563790721,1,1,0,1.0,0,0,1,0
M4_W6_143,0.5468848288007817,0.44463963286591035,0.6162651057305918,0.8449597845475899,0.6863115801263973,0.6329201934525721,1,0,1,1.0,0,1,1,0
M4_W6_144,0.5760555818858234,0.8026635669976618,0.6261564363638581,0.8421783912402604,0.8586839462988255,0.8795276978420283,1,1,1,1.0,1,1,1,0
M4_W6_145,0.4306137603081401,0.3704174517263616,0.8800491803562657,0.8833198949540795,0.7365194239231617,0.7644605639555331,1,1,0,1.0,0,1,1,0
M4_W6_146,0.49920271890341333,0.8850004964070447,0.5350735738351614,0.6041243234760368,0.7306029722635868,0.7163600011432198,1,1,1,1.0,0,1,1,1
M4_W6_147,0.7089421511107462,0.7350688969111386,0.5543702290751492,0.7539022368897575,0.8300665008510176,0.8422396600873262,1,1,1,1.0,0,1,1,1
M4_W6_148,0.9026004252224643,0.7547289599659426,0.5361562862104753,0.6957565806253078,0.9230853019827746,0.8587022933838614,1,1,1,1.0,0,1,1,1
M4_W6_149,0.8856107320392057,0.5242538863385182,0.23791618212685156,0.6981946496078931,0.7913469712898994,0.9103316404144636,1,1,1,1.0,0,1,1,0
M4_W6_150,0.8767920688158253,0.5252012752441614,0.7752173027368184,0.9573446422163454,0.6097619472321368,0.764640687221053,1,0,0,1.0,0,1,1,0
M4_W6_151,0.6140910053295128,0.5773110656707144,0.7320668615951637,0.8943408052697773,0.6445072608654553,0.5849842720864604,1,1,0,1.0,0,1,1,0
M4_W6_152,0.6311755330411354,0.5718171741761882,0.43533748432948666,0.9379898931014274,0.5323153205960612,0.8749492219603887,1,0,1,1.0,0,1,1,0
M4_W6_153,0.8730592089295521,0.5884854421416635,0.7860573354886918,0.48279641961923037,0.6308918902763806,0.7108439512918903,1,1,1,1.0,0,1,1,1
M4_W6_154,0.946672985277805,0.86235244590588,0.5033894524623037,0.4669829447876228,0.9010571277272497,0.8528023872112692,1,1,1,1.0,0,1,1,1
M4_W6_155,0.8274487631690569,0.3831433884279479,0.8546005552053308,0.8187487066410658,0.8179039536155259,0.633699492422587,1,1,1,1.0,1,0,1,0
M4_W6_156,0.4568774845831082,0.904071401016337,0.43801255036614317,0.8290031500150234,0.5434702426880974,0.6292649538287219,1,1,1,1.0,0,1,0,0
M4_W6_157,0.6924742173985762,0.5727626058376318,0.7914578720543208,0.872953053147716,0.8768427021535833,0.5945048746375284,1,1,1,1.0,0,1,1,1
M4_W6_158,0.6413689766901323,0.365558374440939,0.4357084282710059,0.9498733773614696,0.8632351672025211,0.7932214278299102,1,1,1,1.0,0,1,1,0
M4_W6_159,0.8181852080219557,0.40031939278710893,0.712331524239126,0.7877837259661478,0.5649875343851993,0.7230636377808382,0,1,1,1.0,0,1,1,0
M4_W6_160,0.8654867478978224,0.46621265503304854,0.6864872809057769,0.6232069147498479,0.6407724476982608,0.8103008165786547,1,1,1,0.5,0,1,1,0
M4_W6_161,0.6840851974854052,0.42785732827765754,0.47804621260291785,0.6248892131082463,0.5829146333237946,0.8333980305163339,1,1,0,1.0,0,1,1,0
M4_W6_162,0.926856646927941,0.7384956203518039,0.6113445234307469,0.9579557577760611,0.9760469324032611,0.6637804984865322,1,1,1,1.0,0,0,1,0
M4_W6_163,0.8785089301068517,0.984656529947037,0.763164689192038,0.8500892982452173,0.6749237895658099,0.6477252162978384,1,1,1,1.0,0,1,1,1
M4_W6_164,0.9077693728268065,0.6250212259792151,0.6822766840587863,0.9146465934475857,0.7100256215987678,0.7279591785596141,1,1,1,1.0,0,1,0,0
M4_W6_165,0.42625363279014084,0.686574462545826,0.7691514181299485,0.39390870504281894,0.7158250086441574,0.8413190644683237,1,1,1,1.0,0,1,0,0
M4_W6_166,0.7557733905795438,0.7319515947427222,0.5898617399527609,0.9037975961251125,0.8032826053046815,0.9311764435389877,0,1,1,1.0,0,1,1,0
M4_W6_167,0.37268095209668395,0.6200725943521127,0.6747275309445419,0.49317366000042345,0.5000732219052262,0.5438233555401777,1,0,1,1.0,0,1,0,0
M4_W6_168,0.6312529051675545,0.650172539813851,0.6490187689325018,0.8079020481843298,0.6150175152642173,0.9598020732904327,1,1,1,0.5,0,0,0,0
M4_W6_169,0.9141252620427079,0.6276340425905321,0.7606859186590025,0.7387845117059558,0.8143176170844478,0.8446641972165552,1,1,1,1.0,0,0,1,0
M4_W6_170,0.48717175144174935,0.7169814297309637,0.8513784989047194,0.4931198607914971,0.6798234416059864,0.5947152957305579,1,1,1,1.0,0,1,1,1
M4_W6_171,0.45119285284456745,0.6387240139635205,0.48499001651875295,0.7878915664834955,0.6417492814770162,0.6714983548291626,1,1,1,1.0,0,1,1,1
M4_W6_172,0.8239173700637668,0.9105119269211476,0.785910749714305,0.5448392342171459,0.8306021200623086,0.5742494139759374,1,1,0,1.0,0,1,1,0
M4_W6_173,0.58592249186612,0.5615829344242529,0.9426303309463487,0.6766609124365695,0.9214246985416912,0.7128455340941753,1,1,1,1.0,0,1,1,1
