"case_id","source_image_id","file_name","source_dataset","source_pool","source_folder","source_annotation","claim_id","claim_text","expected_verdict","actual_visual_state","damage_type","confidence","case_origin","construction_method","parent_case_id","image_variant_id","unique_physical_image","review_status","notes"
"DDV1-017","H017","hole_017.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-017","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H017-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-018","H018","hole_018.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-018","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H018-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-019","H019","hole_019.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-019","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H019-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-020","H020","hole_020.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-020","The garment has a visible hole or tear.","positive","hole_or_tear_visible","hole_or_tear","high","source_image_claim","original_image_matching_claim","","H020-ORIGINAL","no","provisional_week1","Claim is consistent with the hole/tear source image selected during Week 1 batch triage."
"DDV1-021","S001","spot_001.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-021","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S001-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-022","S002","spot_002.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-022","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S002-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-023","S003","spot_003.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-023","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S003-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-024","S004","spot_004.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-024","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S004-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-025","S005","spot_005.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-025","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S005-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-026","S006","spot_006.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-026","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S006-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-027","S007","spot_007.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-027","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S007-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-028","S008","spot_008.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-028","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S008-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-029","S009","spot_009.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-029","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S009-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-030","S010","spot_010.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-030","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S010-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-031","S011","spot_011.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-031","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S011-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-032","S012","spot_012.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-032","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S012-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-033","S013","spot_013.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-033","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S013-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-034","S014","spot_014.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-034","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S014-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-035","S015","spot_015.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-035","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S015-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-036","S016","spot_016.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-036","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S016-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-037","S017","spot_017.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-037","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S017-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-038","S018","spot_018.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-038","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S018-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-039","S019","spot_019.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-039","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S019-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-040","S020","spot_020.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-040","The garment has a visible stain or spot.","positive","stain_or_spot_visible","stain_or_spot","medium","source_image_claim","original_image_matching_claim","","S020-ORIGINAL","no","provisional_week1","Claim is consistent with a spot/stain candidate retained in Week 1 triage; confirm before benchmark use."
"DDV1-041","S021","spot_021.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-041","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S021","S021-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-042","S022","spot_022.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-042","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S022","S022-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-043","S023","spot_023.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-043","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S023","S023-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-044","S024","spot_024.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-044","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S024","S024-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-045","S025","spot_025.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-045","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S025","S025-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-046","S026","spot_026.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-046","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S026","S026-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-047","S027","spot_027.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-047","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S027","S027-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-048","S028","spot_028.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-048","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S028","S028-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-049","S029","spot_029.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-049","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S029","S029-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-050","S030","spot_030.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-050","The garment has a visible hole or tear.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_hole_claim_on_clean_appearing_image","SOURCE:S030","S030-ORIGINAL","no","provisional_week1","Constructed false claim. Spot-pool image was triaged as having no clear defect for this case."
"DDV1-051","S026","spot_026.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-051","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S026","S026-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-052","S027","spot_027.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-052","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S027","S027-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-053","S028","spot_028.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-053","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S028","S028-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-054","S029","spot_029.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-054","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S029","S029-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-055","S030","spot_030.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-055","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S030","S030-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-056","S031","spot_031.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-056","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S031","S031-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-057","S032","spot_032.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-057","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S032","S032-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-058","S033","spot_033.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-058","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S033","S033-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-059","S034","spot_034.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-059","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S034","S034-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-060","S035","spot_035.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-060","The garment has a visible stain or spot.","negative","no_clear_damage_visible","none","medium","altered_claim_same_source_image","false_stain_claim_on_clean_appearing_image","SOURCE:S035","S035-ORIGINAL","no","provisional_week1","Constructed false claim. Reuse is intentional and is tracked by source_image_id."
"DDV1-061","H021","hole_021.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-061","The garment has a visible stain or spot.","negative","hole_or_tear_visible","hole_or_tear","high","altered_claim_same_source_image","false_stain_claim_on_actual_hole","SOURCE:H021","H021-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual hole/tear does not support the stain claim."
"DDV1-062","H022","hole_022.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-062","The garment has a visible stain or spot.","negative","hole_or_tear_visible","hole_or_tear","high","altered_claim_same_source_image","false_stain_claim_on_actual_hole","SOURCE:H022","H022-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual hole/tear does not support the stain claim."
"DDV1-063","H023","hole_023.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-063","The garment has a visible stain or spot.","negative","hole_or_tear_visible","hole_or_tear","high","altered_claim_same_source_image","false_stain_claim_on_actual_hole","SOURCE:H023","H023-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual hole/tear does not support the stain claim."
"DDV1-064","H024","hole_024.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-064","The garment has a visible stain or spot.","negative","hole_or_tear_visible","hole_or_tear","high","altered_claim_same_source_image","false_stain_claim_on_actual_hole","SOURCE:H024","H024-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual hole/tear does not support the stain claim."
"DDV1-065","H025","hole_025.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-065","The garment has a visible stain or spot.","negative","hole_or_tear_visible","hole_or_tear","high","altered_claim_same_source_image","false_stain_claim_on_actual_hole","SOURCE:H025","H025-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual hole/tear does not support the stain claim."
"DDV1-066","S011","spot_011.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-066","The garment has a visible hole or tear.","negative","stain_or_spot_visible","stain_or_spot","medium","altered_claim_same_source_image","false_hole_claim_on_actual_stain","SOURCE:S011","S011-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual stain/spot does not support the hole claim."
"DDV1-067","S012","spot_012.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-067","The garment has a visible hole or tear.","negative","stain_or_spot_visible","stain_or_spot","medium","altered_claim_same_source_image","false_hole_claim_on_actual_stain","SOURCE:S012","S012-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual stain/spot does not support the hole claim."
"DDV1-068","S013","spot_013.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-068","The garment has a visible hole or tear.","negative","stain_or_spot_visible","stain_or_spot","medium","altered_claim_same_source_image","false_hole_claim_on_actual_stain","SOURCE:S013","S013-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual stain/spot does not support the hole claim."
"DDV1-069","S014","spot_014.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-069","The garment has a visible hole or tear.","negative","stain_or_spot_visible","stain_or_spot","medium","altered_claim_same_source_image","false_hole_claim_on_actual_stain","SOURCE:S014","S014-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual stain/spot does not support the hole claim."
"DDV1-070","S015","spot_015.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-070","The garment has a visible hole or tear.","negative","stain_or_spot_visible","stain_or_spot","medium","altered_claim_same_source_image","false_hole_claim_on_actual_stain","SOURCE:S015","S015-ORIGINAL","no","provisional_week1","Constructed damage-type mismatch: actual stain/spot does not support the hole claim."
"DDV1-071","H026","hole_026.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-071","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","tight_crop","SOURCE:H026","H026-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-072","H027","hole_027.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-072","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","mild_blur","SOURCE:H027","H027-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-073","H028","hole_028.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-073","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:H028","H028-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-074","H029","hole_029.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-074","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:H029","H029-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-075","H030","hole_030.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-075","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","incomplete_view","SOURCE:H030","H030-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
